season	id	name	createdate	origin	is_paid	round_start	id_user
2017/18	234	Mentalistas	2017-08-01 12:13:11.387	REVISTA	1	0	767378
2017/18	238	KOICE DE MULA	2017-08-01 12:13:16.317	C‡DIGO OFERTA 3+1	0	0	761068
2017/18	243	chelsea 2	2017-08-01 12:13:40.050	REVISTA	1	0	762861
2017/18	246	Os An¢nimos	2017-08-01 12:13:59.600	REVISTA	1	0	762572
2017/18	251	JHCRUZ	2017-08-01 12:14:15.450	REVISTA	1	0	764960
2017/18	255	Laranja mecÉnica 1	2017-08-01 12:14:25.180	REVISTA	1	0	760955
2017/18	257	JOANINHA ALEGRE	2017-08-01 12:14:47.663	REVISTA	1	0	760658
2017/18	261	Ginyu Force	2017-08-01 12:15:07.460	REVISTA	1	0	760848
2017/18	262	Joao Barros	2017-08-01 12:15:14.120	REVISTA	1	0	762930
2017/18	266	Malhas Team	2017-08-01 12:15:27.040	REVISTA	1	0	778287
2017/18	267	Bentarem	2017-08-01 12:15:34.590	REVISTA	1	0	760725
2017/18	270	DM FC	2017-08-01 12:15:58.323	REVISTA	1	0	778287
2017/18	274	Diego_01	2017-08-01 12:16:17.447	REVISTA	1	0	760475
2017/18	278	FC Milky	2017-08-01 12:16:37.460	REVISTA	1	0	762122
2017/18	282	WM team	2017-08-01 12:17:15.420	REVISTA	1	0	760809
2017/18	290	qwerty	2017-08-01 12:18:05.990	REVISTA	1	0	762551
2017/18	292	On The Rocks	2017-08-01 12:18:13.517	REVISTA	1	0	763889
2017/18	296	Fut Carreira city	2017-08-01 12:18:58.750	REVISTA	1	0	773030
2017/18	300	biancadiana11	2017-08-01 12:19:16.367	REVISTA	1	0	761814
2017/18	306	Na Rota do Penta SLB	2017-08-01 12:19:57.567	REVISTA	1	0	776422
2017/18	309	velha gloria	2017-08-01 12:20:22.660	REVISTA	1	0	764193
2017/18	313	FORÄA SPORTING	2017-08-01 12:20:36.020	REVISTA	1	0	761603
2017/18	316	ContaOn Team	2017-08-01 12:20:58.247	REVISTA	1	0	772774
2017/18	320	Lagartos F.C.	2017-08-01 12:21:19.133	REVISTA	1	0	760778
2017/18	323	O bruxo SLB	2017-08-01 12:21:53.670	REVISTA	1	0	760466
2017/18	335	El Equipo A	2017-08-01 12:23:26.400	REVISTA	1	0	767447
2017/18	343	Rotundas	2017-08-01 12:24:07.470	REVISTA	1	0	770555
2017/18	349	Vaticano FC	2017-08-01 12:24:44.063	REVISTA	1	0	760994
2017/18	353	PM 1904	2017-08-01 12:25:29.943	REVISTA	1	0	765899
2017/18	367	Drag‰es Loucos 351	2017-08-01 12:26:59.247	REVISTA	1	0	794642
2017/18	370	PESDEFOGO	2017-08-01 12:27:19.297	REVISTA	1	0	761548
2017/18	388	manda-me por e-mail	2017-08-01 12:29:10.000	REVISTA	1	0	760567
2017/18	390	PraGanhar 1	2017-08-01 12:29:23.847	REVISTA	1	0	764275
2017/18	399	MatinhaFC	2017-08-01 12:30:19.390	REVISTA	1	0	777795
2017/18	406	PraGanhar 2	2017-08-01 12:30:40.697	REVISTA	1	0	764275
2017/18	412	SpeedyFC2017	2017-08-01 12:31:14.150	REVISTA	1	0	765869
2017/18	418	PraGanhar 3	2017-08-01 12:31:50.917	REVISTA	1	0	764275
2017/18	421	SEGUIDOR	2017-08-01 12:32:11.270	REVISTA	1	0	762555
2017/18	427	Borges 1	2017-08-01 12:33:01.930	REVISTA	1	0	761837
2017/18	429	PraGanhar 4	2017-08-01 12:33:21.380	C‡DIGO OFERTA 3+1	0	0	764275
2017/18	430	Le∆o Memor†vel	2017-08-01 12:33:21.910	REVISTA	1	0	761023
2017/18	434	SLB36	2017-08-01 12:33:56.357	REVISTA	1	0	760492
2017/18	436	RMC TEAM 1	2017-08-01 12:34:01.860	REVISTA	1	0	760915
2017/18	451	tugamix1	2017-08-01 12:35:36.040	REVISTA	1	0	766958
2017/18	454	PraGanhar 5	2017-08-01 12:35:47.300	REVISTA	1	0	764275
2017/18	460	FC OS LUSITANOS	2017-08-01 12:36:33.700	REVISTA	1	0	762905
2017/18	462	PraGanhar 6	2017-08-01 12:36:42.903	REVISTA	1	0	764275
2017/18	464	2pÇsEsquerdos	2017-08-01 12:36:55.163	REVISTA	1	0	764310
2017/18	465	ZÇBraz∆oGalveias1	2017-08-01 12:36:59.700	REVISTA	1	0	760995
2017/18	481	Jpgouxa 	2017-08-01 12:38:58.937	REVISTA	1	0	762457
