day,feriado
2019-1-1,Dia de Ano Novo
2019-3-15,Carnaval
2019-4-19,Sexta-feira Santa
2019-4-21,Páscoa
2019-4-25,Dia da Liberdade
2019-5-1, Dia do Trabalhador
2019-6-10,Dia de Portugal 
2019-6-20,Corpo de Deus
2019-8-15,Assunção de N. Senhora
2019-10-5,Implantação da República
2019-11-1,Dia de Todos os Santos
2019-12-1,Restauração da Independência
2019-12-9,Dia da Imaculada Conceição
2019-12-25,Natal
