agegroup,gender,club,district,visitas,rank_total_final,equipas
35-44,Masculino ,Sporting,Porto,696,5094,1
25-34,Feminino  ,Sporting,Lisboa,952,14699,1
35-44,Masculino ,FC Porto,Porto,684,12962,1
25-34,Masculino ,Benfica,Setúbal,388,11290,1
35-44,Masculino ,Benfica,Santarém,508,560,1
45-54,Masculino ,Benfica,Évora,1500,7283,1
35-44,Masculino ,Sporting,Setúbal,280,3614,2
45-54,Masculino ,Benfica,Leiria,600,1491,1
35-44,Masculino ,Benfica,Aveiro,500,11119,1
45-54,Masculino ,Benfica,Leiria,1120,6228,1
25-34,Masculino ,FC Porto,Faro,1128,1804,2
25-34,Feminino  ,Benfica,Faro,352,6158,1
35-44,Masculino ,Benfica,Castelo Branco,332,18543,1
25-34,Masculino ,Benfica,Portalegre,276,12553,1
35-44,Masculino ,FC Porto,Lisboa,748,13213,1
35-44,Masculino ,Benfica,Lisboa,696,9145,1
35-44,Masculino ,Benfica,Porto,620,10813,1
15-24,Masculino ,Sporting,Viseu,1164,7097,1
45-54,Masculino ,Benfica,Porto,572,3409,1
25-34,Masculino ,Benfica,Lisboa,648,1703,1
35-44,Masculino ,Benfica,Aveiro,548,11741,1
45-54,Masculino ,Sporting,Setúbal,532,9417,2
25-34,Masculino ,Benfica,Braga,400,13542,1
35-44,Masculino ,Benfica,Coimbra,320,7443,1
25-34,Masculino ,FC Porto,Braga,472,18680,1
35-44,Masculino ,Benfica,Lisboa,684,16311,1
25-34,Masculino ,Benfica,Setúbal,456,8252,1
55-64,Masculino ,Sporting,Beja,304,13952,2
25-34,Masculino ,Sporting,Lisboa,344,12995,1
35-44,Masculino ,Sporting,Lisboa,376,14264,1
35-44,Masculino ,Benfica,Évora,412,2964,1
35-44,Masculino ,Benfica,Setúbal,560,4094,1
55-64,Masculino ,Benfica,Lisboa,388,4675,2
