agegroup,gender,club,district,visitas,rank_total_final,equipas,equipas_epoca_seguinte
64,Masculino ,Sporting,Lisboa,680,17851,1,1
45-54,Masculino ,Benfica,Braga,728,1529,1,1
25-34,Masculino ,Sporting,Santarém,528,15261,1,1
25-34,Masculino ,Benfica,Portalegre,224,13207,1,1
35-44,Masculino ,Benfica,Coimbra,764,16071,4,1
45-54,Masculino ,Benfica,Vila Real,584,21454,1,1
25-34,Masculino ,Benfica,Aveiro,984,4817,1,1
25-34,Masculino ,Benfica,Lisboa,856,215,1,1
45-54,Masculino ,FC Porto,Aveiro,1076,37336,8,4
35-44,Masculino ,Benfica,Santarém,792,2494,1,1
35-44,Masculino ,Benfica,Lisboa,400,18635,1,1
45-54,Masculino ,Benfica,Coimbra,744,12187,2,1
35-44,Masculino ,Benfica,Braga,836,20195,1,1
55-64,Masculino ,Benfica,Lisboa,1072,10677,4,4
25-34,Masculino ,FC Porto,Aveiro,692,8901,1,1
45-54,Masculino ,Sporting,Lisboa,516,21415,1,1
55-64,Masculino ,Benfica,Porto,672,2971,1,1
25-34,Masculino ,Benfica,Beja,792,4219,1,1
35-44,Masculino ,FC Porto,Lisboa,1064,8138,1,1
15-24,Masculino ,FC Porto,Braga,752,1794,1,1
45-54,Masculino ,Sporting,Aveiro,604,4796,1,1
35-44,Masculino ,FC Porto,Bragança,500,2845,1,1
45-54,Masculino ,Benfica,Castelo Branco,436,19772,5,5
25-34,Feminino  ,FC Porto,Porto,628,8306,5,3
25-34,Masculino ,Benfica,Castelo Branco,644,2225,1,1
25-34,Masculino ,Benfica,Bragança,608,2311,1,1
55-64,Masculino ,Benfica,Setúbal,596,5889,1,1
25-34,Masculino ,Benfica,Évora,1180,14405,2,2
25-34,Masculino ,Benfica,Évora,884,2254,1,1
55-64,Masculino ,Sporting,Coimbra,420,29652,1,1
45-54,Masculino ,Benfica,Setúbal,876,22026,1,1
25-34,Masculino ,Benfica,Ilha da Madeira,600,14347,1,1
35-44,Masculino ,Sporting,Setúbal,656,27750,4,2
35-44,Masculino ,Benfica,Évora,672,11895,1,1
25-34,Masculino ,Benfica,Porto,1144,21420,4,4
25-34,Masculino ,FC Porto,Ilha Terceira,1136,11295,2,1
35-44,Masculino ,Sporting,Viseu,464,37472,4,4
15-24,Masculino ,Benfica,Setúbal,812,1479,1,1
15-24,Masculino ,Benfica,Ilha da Madeira,740,22351,2,1
15-24,Masculino ,Benfica,Portalegre,420,9413,1,0
25-34,Masculino ,FC Porto,Porto,1520,50641,4,1
25-34,Masculino ,FC Porto,Viseu,420,4824,1,1
35-44,Masculino ,FC Porto,Vila Real,4304,27395,8,5
35-44,Masculino ,Benfica,Lisboa,480,9191,1,1
35-44,Masculino ,Sporting,Lisboa,880,18769,2,2
45-54,Masculino ,Benfica,Leiria,396,5172,2,1
55-64,Masculino ,Sporting,Aveiro,1244,8808,4,2
15-24,Masculino ,Benfica,Beja,692,39378,4,3
35-44,Masculino ,Benfica,Lisboa,716,2987,1,1
25-34,Masculino ,FC Porto,Porto,288,15384,1,1
35-44,Feminino  ,Sporting,Lisboa,1716,19992,4,2
35-44,Feminino  ,FC Porto,Porto,1776,42112,10,4
25-34,Masculino ,Benfica,Lisboa,612,46378,4,1
35-44,Masculino ,Benfica,Faro,508,14216,4,4
35-44,Masculino ,Benfica,Vila Real,452,36090,2,1
35-44,Masculino ,Benfica,Viana do Castelo,828,8760,2,2
35-44,Feminino  ,Benfica,Lisboa,1160,25192,4,3
45-54,Masculino ,Sporting,Setúbal,252,33083,4,3
35-44,Masculino ,Sporting,Portalegre,744,14349,1,1
35-44,Masculino ,Benfica,Lisboa,580,3598,4,1
45-54,Masculino ,Sporting,Lisboa,276,18041,1,1
45-54,Masculino ,Sporting,Setúbal,2588,4972,2,1
15-24,Masculino ,Benfica,Évora,296,12201,1,1
35-44,Masculino ,Benfica,Ilha da Madeira,432,986,1,1
25-34,Masculino ,Benfica,Évora,472,6215,2,1
35-44,Masculino ,Benfica,Faro,836,1196,1,1
35-44,Masculino ,Sporting,Castelo Branco,800,9799,2,1
25-34,Masculino ,FC Porto,Bragança,540,32956,4,1
35-44,Masculino ,Benfica,Setúbal,464,2351,1,1
35-44,Masculino ,Benfica,Porto,252,6572,1,1
35-44,Masculino ,Benfica,Coimbra,604,3627,1,1
25-34,Masculino ,Benfica,Setúbal,568,613,1,1
45-54,Masculino ,Sporting,Aveiro,320,43502,3,3
25-34,Masculino ,Benfica,Portalegre,636,3826,1,1
25-34,Feminino  ,Sporting,Bragança,328,18247,1,1
25-34,Masculino ,Benfica,Lisboa,372,3590,1,1
35-44,Masculino ,FC Porto,Porto,544,21865,1,1
25-34,Feminino  ,Sporting,Santarém,812,10074,3,4
25-34,Masculino ,Benfica,Leiria,508,299,1,1
35-44,Masculino ,FC Porto,Ilha de São Miguel,984,6612,1,1
25-34,Masculino ,Sporting,Setúbal,556,3723,1,1
25-34,Masculino ,Sporting,Aveiro,796,20472,3,1
15-24,Masculino ,Benfica,Porto,280,3776,1,1
35-44,Masculino ,Benfica,Lisboa,632,6327,1,1
35-44,Masculino ,Benfica,Lisboa,752,24457,2,1
25-34,Feminino  ,Benfica,Porto,384,4746,1,1
35-44,Masculino ,Sporting,Lisboa,496,21792,1,1
45-54,Masculino ,Sporting,Évora,268,5615,1,1
25-34,Masculino ,Benfica,Coimbra,488,43896,4,4
35-44,Masculino ,Sporting,Setúbal,272,23532,1,1
45-54,Masculino ,Sporting,Lisboa,1076,10845,1,1
25-34,Masculino ,Benfica,Lisboa,344,9981,1,1
35-44,Masculino ,Benfica,Coimbra,388,22268,1,1
35-44,Masculino ,Benfica,Lisboa,276,6762,1,1
35-44,Masculino ,FC Porto,Aveiro,876,642,1,1
25-34,Masculino ,Sporting,Évora,1108,4094,1,1
45-54,Masculino ,Sporting,Beja,460,7380,1,1
45-54,Masculino ,Sporting,Santarém,552,18735,1,1
35-44,Masculino ,Benfica,Beja,1312,18416,2,2
15-24,Masculino ,Benfica,Castelo Branco,652,6741,1,1
35-44,Masculino ,FC Porto,Porto,780,4308,1,1
25-34,Masculino ,Benfica,Beja,644,5357,1,1
35-44,Masculino ,FC Porto,Aveiro,904,115,1,1
35-44,Masculino ,Sporting,Beja,636,23558,2,2
25-34,Masculino ,Benfica,Santarém,756,4200,1,1
45-54,Feminino  ,Sporting,Porto,604,7312,1,1
45-54,Feminino  ,Sporting,Setúbal,740,22662,2,4
25-34,Masculino ,FC Porto,Faro,1916,1588,2,2
35-44,Masculino ,Benfica,Aveiro,864,13196,2,2
35-44,Masculino ,Sporting,Santarém,708,1984,1,1
25-34,Masculino ,Sporting,Leiria,124,29477,2,1
45-54,Masculino ,Benfica,Viseu,884,12880,1,1
35-44,Masculino ,Benfica,Lisboa,532,1722,1,1
25-34,Feminino  ,Benfica,Lisboa,940,5689,1,1
35-44,Masculino ,Benfica,Lisboa,488,10640,1,1
45-54,Masculino ,Sporting,Viseu,1100,15817,8,8
45-54,Masculino ,Sporting,Lisboa,532,18962,1,1
25-34,Masculino ,Benfica,Aveiro,852,5897,1,1
35-44,Masculino ,Sporting,Coimbra,1180,6734,12,9
35-44,Feminino  ,Benfica,Lisboa,256,24033,2,1
35-44,Masculino ,Benfica,Lisboa,1860,10678,1,1
45-54,Masculino ,Benfica,Lisboa,772,7083,1,1
45-54,Masculino ,Benfica,Porto,328,1035,1,1
45-54,Masculino ,Benfica,Évora,1088,3668,1,1
25-34,Masculino ,Sporting,Santarém,1604,985,1,1
35-44,Masculino ,FC Porto,Porto,3892,15617,1,1
25-34,Masculino ,Benfica,Faro,2100,2726,2,3
25-34,Masculino ,FC Porto,Porto,552,22916,1,1
35-44,Feminino  ,Sporting,Lisboa,488,13089,1,1
35-44,Masculino ,FC Porto,Aveiro,776,6699,1,1
55-64,Masculino ,Benfica,Lisboa,464,4637,1,1
25-34,Masculino ,Benfica,Leiria,544,10340,2,2
35-44,Masculino ,Benfica,Santarém,268,33052,5,5
45-54,Feminino  ,Sporting,Santarém,1220,4232,1,1
45-54,Masculino ,FC Porto,Coimbra,292,25702,2,1
35-44,Masculino ,FC Porto,Braga,1020,17250,1,1
35-44,Masculino ,Sporting,Lisboa,952,6663,1,1
25-34,Masculino ,Sporting,Leiria,528,8855,1,1
55-64,Masculino ,Benfica,Castelo Branco,816,5954,1,1
35-44,Masculino ,FC Porto,Setúbal,620,4262,1,1
35-44,Feminino  ,FC Porto,Porto,716,29864,4,3
55-64,Masculino ,Benfica,Portalegre,748,4629,1,1
15-24,Masculino ,Benfica,Portalegre,1736,15482,1,1
35-44,Masculino ,Benfica,Aveiro,544,18208,4,4
35-44,Masculino ,Benfica,Setúbal,1348,451,1,1
25-34,Masculino ,Sporting,Castelo Branco,1188,1287,1,1
25-34,Feminino  ,Benfica,Lisboa,640,11305,2,1
45-54,Masculino ,Benfica,Beja,1260,35583,4,2
15-24,Feminino  ,Benfica,Lisboa,860,6907,1,1
25-34,Masculino ,Sporting,Évora,460,9245,3,1
45-54,Masculino ,Benfica,Faro,1080,7445,5,3
25-34,Masculino ,FC Porto,Porto,720,17780,4,4
35-44,Masculino ,FC Porto,Braga,1060,11000,2,2
25-34,Masculino ,Benfica,Coimbra,784,9638,1,1
35-44,Feminino  ,Benfica,Castelo Branco,744,2034,1,1
15-24,Masculino ,Benfica,Leiria,1772,3148,2,2
55-64,Feminino  ,Sporting,Portalegre,856,43143,88,76
45-54,Masculino ,FC Porto,Porto,392,9670,1,1
35-44,Masculino ,Benfica,Coimbra,2364,2088,3,4
45-54,Masculino ,Sporting,Aveiro,432,5574,1,1
25-34,Masculino ,Benfica,Lisboa,548,11888,1,1
45-54,Masculino ,Sporting,Coimbra,1340,4507,3,1
64,Masculino ,Benfica,Porto,456,16062,1,1
55-64,Masculino ,Benfica,Viseu,488,26524,2,1
45-54,Masculino ,FC Porto,Porto,588,982,1,1
35-44,Feminino  ,Sporting,Lisboa,356,12462,4,1
45-54,Masculino ,Benfica,Beja,760,2919,2,2
45-54,Masculino ,Benfica,Coimbra,1288,10289,1,1
35-44,Masculino ,FC Porto,Lisboa,1020,2354,1,1
35-44,Masculino ,Benfica,Santarém,772,2970,1,1
25-34,Masculino ,Sporting,Setúbal,892,18353,1,1
35-44,Masculino ,Benfica,Braga,632,3221,2,4
25-34,Masculino ,Benfica,Santarém,680,8757,1,1
25-34,Masculino ,FC Porto,Porto,868,19118,2,1
25-34,Masculino ,Benfica,Braga,700,2391,1,1
35-44,Masculino ,Sporting,Vila Real,516,6495,1,1
45-54,Masculino ,Benfica,Setúbal,216,25893,1,1
35-44,Masculino ,FC Porto,Aveiro,376,6278,1,1
25-34,Masculino ,FC Porto,Porto,832,4274,1,1
25-34,Masculino ,Sporting,Santarém,508,7761,1,1
25-34,Masculino ,Benfica,Setúbal,1000,4842,1,1
45-54,Masculino ,Sporting,Coimbra,304,32219,4,1
35-44,Masculino ,Sporting,Portalegre,700,2647,1,1
45-54,Masculino ,FC Porto,Ilha da Madeira,520,643,1,1
45-54,Masculino ,Sporting,Lisboa,216,37803,1,1
25-34,Masculino ,Benfica,Braga,236,16932,1,1
35-44,Masculino ,Benfica,Évora,2352,1034,1,1
35-44,Masculino ,Sporting,Lisboa,1076,246,1,1
25-34,Masculino ,Sporting,Leiria,1564,6737,1,1
25-34,Feminino  ,Benfica,Faro,752,8476,3,1
35-44,Masculino ,FC Porto,Braga,948,15273,1,1
35-44,Feminino  ,Sporting,Lisboa,572,10087,1,1
35-44,Masculino ,Benfica,Portalegre,772,4473,1,1
64,Masculino ,Benfica,Lisboa,1212,6711,1,1
35-44,Masculino ,FC Porto,Porto,1252,10803,2,1
35-44,Masculino ,Benfica,Lisboa,688,10699,1,1
35-44,Masculino ,Benfica,Évora,1096,12862,1,1
25-34,Masculino ,Benfica,Évora,900,15845,1,1
15-24,Masculino ,Benfica,Braga,1380,1122,1,1
55-64,Masculino ,Benfica,Castelo Branco,3864,1800,1,1
35-44,Masculino ,FC Porto,Aveiro,1208,17950,1,1
45-54,Masculino ,FC Porto,Porto,932,1378,1,1
15-24,Masculino ,Sporting,Setúbal,1340,4174,2,2
45-54,Masculino ,Sporting,Setúbal,472,12147,1,1
35-44,Masculino ,Benfica,Coimbra,640,10300,1,1
25-34,Masculino ,Benfica,Faro,436,5854,1,1
25-34,Feminino  ,Sporting,Castelo Branco,432,7893,1,1
25-34,Masculino ,FC Porto,Porto,460,11039,1,1
35-44,Masculino ,FC Porto,Porto,2876,2961,1,1
35-44,Masculino ,FC Porto,Lisboa,1224,9475,1,1
25-34,Feminino  ,Sporting,Viseu,376,6065,1,1
25-34,Masculino ,Benfica,Setúbal,708,10331,1,1
45-54,Masculino ,Benfica,Beja,6200,1014,1,1
55-64,Masculino ,Sporting,Lisboa,1688,10602,4,4
45-54,Masculino ,FC Porto,Évora,2372,3498,52,98
45-54,Masculino ,Benfica,Viseu,1112,6801,5,6
55-64,Masculino ,Sporting,Viseu,1080,13533,1,1
25-34,Feminino  ,FC Porto,Aveiro,1132,3099,1,1
35-44,Masculino ,Benfica,Lisboa,392,11482,1,1
25-34,Masculino ,Sporting,Portalegre,2640,7271,1,1
35-44,Masculino ,Sporting,Lisboa,808,10926,1,1
45-54,Masculino ,Benfica,Beja,976,825,3,1
45-54,Masculino ,Sporting,Porto,532,29397,8,5
45-54,Masculino ,Sporting,Lisboa,1876,394,1,1
35-44,Masculino ,FC Porto,Porto,1004,1824,3,1
35-44,Feminino  ,Sporting,Ilha da Madeira,1456,9777,2,1
25-34,Masculino ,FC Porto,Beja,2284,36142,4,4
55-64,Masculino ,Benfica,Setúbal,912,8582,1,1
35-44,Masculino ,Benfica,Faro,332,4901,1,1
35-44,Masculino ,Benfica,Porto,808,350,1,1
45-54,Masculino ,Benfica,Leiria,1044,1946,1,1
55-64,Masculino ,Benfica,Lisboa,756,1614,1,1
45-54,Masculino ,FC Porto,Aveiro,812,505,4,5
35-44,Masculino ,Benfica,Setúbal,788,458,3,4
35-44,Masculino ,Benfica,Setúbal,788,16938,1,1
35-44,Masculino ,FC Porto,Vila Real,380,11433,1,1
55-64,Masculino ,Benfica,Faro,416,16813,1,1
55-64,Masculino ,Benfica,Castelo Branco,420,25192,7,6
64,Masculino ,Benfica,Leiria,1032,28241,4,5
64,Masculino ,Sporting,Leiria,672,20572,8,8
35-44,Masculino ,Benfica,Lisboa,1696,13861,6,7
45-54,Masculino ,Sporting,Faro,2200,33538,35,24
45-54,Masculino ,Benfica,Porto,580,12356,1,1
55-64,Masculino ,Benfica,Porto,680,27875,6,11
45-54,Masculino ,Sporting,Lisboa,988,42451,21,12
55-64,Feminino  ,Benfica,Lisboa,1492,25909,28,16
45-54,Masculino ,Benfica,Lisboa,3504,15600,9,10
35-44,Masculino ,Benfica,Lisboa,1584,7660,1,1
25-34,Masculino ,Benfica,Braga,1956,23947,4,4
55-64,Masculino ,Sporting,Braga,792,16097,5,4
25-34,Masculino ,Sporting,Santarém,764,8454,1,1
64,Masculino ,Benfica,Setúbal,1036,36235,16,24
35-44,Masculino ,Benfica,Castelo Branco,1336,7902,2,1
25-34,Masculino ,FC Porto,Aveiro,736,4915,1,1
45-54,Masculino ,Benfica,Lisboa,416,1032,1,1
55-64,Masculino ,FC Porto,Porto,3664,3511,1,1
45-54,Masculino ,Benfica,Castelo Branco,1104,40652,4,4
15-24,Masculino ,Benfica,Faro,1620,10328,3,3
