agegroup,gender,club,district,visitas,rank_total_final,equipas,equipas_epoca_seguinte
25-34,Masculino ,Benfica,Ilha de Porto Santo,520,1081,1,1
15-24,Masculino ,Sporting,Setúbal,908,19887,4,1
45-54,Masculino ,Benfica,Lisboa,392,9598,1,1
25-34,Masculino ,Benfica,Évora,484,11696,1,1
35-44,Masculino ,Sporting,Porto,420,18145,1,1
45-54,Masculino ,Benfica,Lisboa,512,2397,1,1
45-54,Feminino  ,FC Porto,Vila Real,312,16182,2,2
45-54,Masculino ,Benfica,Lisboa,592,7669,1,1
25-34,Masculino ,FC Porto,Lisboa,504,5629,1,1
45-54,Masculino ,Sporting,Vila Real,244,33689,1,1
35-44,Masculino ,FC Porto,Setúbal,344,13981,1,1
35-44,Masculino ,Benfica,Bragança,512,702,1,1
45-54,Masculino ,Benfica,Faro,384,760,1,1
25-34,Masculino ,FC Porto,Porto,588,2656,1,4
25-34,Masculino ,Benfica,Aveiro,572,5005,1,1
45-54,Masculino ,Benfica,Faro,796,4105,1,1
15-24,Masculino ,Benfica,Portalegre,432,3387,1,1
35-44,Masculino ,FC Porto,Porto,344,9935,1,1
25-34,Masculino ,Benfica,Porto,768,9500,1,1
15-24,Feminino  ,Sporting,Santarém,544,13511,1,1
35-44,Masculino ,Sporting,Lisboa,760,15606,1,1
25-34,Masculino ,Sporting,Santarém,456,17432,1,2
25-34,Masculino ,Benfica,Coimbra,288,6278,1,1
25-34,Masculino ,Benfica,Portalegre,944,9460,1,1
25-34,Feminino  ,FC Porto,Braga,492,1043,1,1
25-34,Masculino ,Benfica,Castelo Branco,428,2514,1,1
35-44,Masculino ,Benfica,Braga,240,11624,1,1
15-24,Masculino ,Benfica,Setúbal,244,4175,1,1
25-34,Feminino  ,Sporting,Lisboa,480,25421,2,2
45-54,Masculino ,Sporting,Lisboa,272,27655,1,1
55-64,Masculino ,FC Porto,Castelo Branco,304,10672,1,2
35-44,Masculino ,Benfica,Évora,212,1493,1,1
25-34,Masculino ,Benfica,Lisboa,424,4879,1,1
35-44,Masculino ,Benfica,Castelo Branco,448,3594,1,1
55-64,Masculino ,Benfica,Coimbra,656,48720,48,48
35-44,Masculino ,FC Porto,Lisboa,712,8789,3,4
25-34,Masculino ,Sporting,Lisboa,476,3324,1,1
25-34,Masculino ,FC Porto,Aveiro,552,4934,1,1
15-24,Masculino ,Benfica,Beja,344,7525,1,1
25-34,Masculino ,FC Porto,Aveiro,412,13123,1,1
25-34,Masculino ,Sporting,Faro,416,9775,1,1
15-24,Masculino ,FC Porto,Coimbra,284,19319,1,1
35-44,Masculino ,Benfica,Aveiro,516,4758,1,0
25-34,Feminino  ,FC Porto,Évora,324,45704,13,20
45-54,Masculino ,FC Porto,Aveiro,372,10787,1,1
15-24,Masculino ,Benfica,Porto,468,1333,1,1
25-34,Masculino ,Benfica,Castelo Branco,404,39097,1,1
25-34,Masculino ,FC Porto,Aveiro,240,39189,4,4
45-54,Masculino ,Benfica,Viana do Castelo,1212,19294,3,1
25-34,Masculino ,Benfica,Setúbal,236,53249,2,2
35-44,Masculino ,Benfica,Lisboa,208,7995,2,2
45-54,Masculino ,Benfica,Setúbal,760,38127,2,1
25-34,Feminino  ,FC Porto,Évora,316,58777,20,5
35-44,Masculino ,FC Porto,Aveiro,764,13233,2,1
35-44,Feminino  ,Benfica,Coimbra,488,2991,2,1
35-44,Masculino ,Benfica,Lisboa,336,9696,2,3
45-54,Masculino ,Sporting,Faro,456,10191,2,2
15-24,Feminino  ,Benfica,Leiria,372,6350,2,2
45-54,Masculino ,Benfica,Lisboa,508,19308,3,4
45-54,Masculino ,Sporting,Santarém,688,7102,8,7
25-34,Masculino ,Benfica,Faro,512,332,2,1
35-44,Masculino ,Sporting,Castelo Branco,712,16706,4,1
25-34,Masculino ,FC Porto,Viana do Castelo,424,20929,4,4
35-44,Masculino ,Benfica,Coimbra,1536,43141,4,6
25-34,Masculino ,Sporting,Aveiro,836,37975,4,3
55-64,Masculino ,Sporting,Lisboa,868,31991,4,1
25-34,Masculino ,FC Porto,Porto,616,23053,4,1
25-34,Masculino ,Benfica,Braga,776,35672,4,2
35-44,Masculino ,Benfica,Setúbal,292,55339,4,2
25-34,Masculino ,Benfica,Coimbra,600,1403,4,2
45-54,Masculino ,Sporting,Setúbal,1736,10585,2,2
25-34,Masculino ,Benfica,Coimbra,524,14527,1,1
25-34,Masculino ,Benfica,Lisboa,608,3955,1,1
35-44,Masculino ,FC Porto,Braga,252,44140,1,1
35-44,Masculino ,FC Porto,Aveiro,1224,14671,2,1
25-34,Masculino ,FC Porto,Guarda,664,42005,1,1
35-44,Masculino ,Benfica,Castelo Branco,636,845,1,1
35-44,Masculino ,Benfica,Aveiro,660,793,2,2
35-44,Masculino ,FC Porto,Braga,360,7753,1,1
15-24,Masculino ,Benfica,Portalegre,408,16432,1,1
35-44,Masculino ,Benfica,Coimbra,908,6336,2,1
25-34,Masculino ,Benfica,Lisboa,180,40723,1,1
45-54,Masculino ,Benfica,Lisboa,696,4545,1,1
35-44,Masculino ,Benfica,Lisboa,516,8868,1,1
25-34,Masculino ,Benfica,Viana do Castelo,612,7648,2,1
25-34,Masculino ,Sporting,Lisboa,1028,18841,1,1
35-44,Masculino ,Benfica,Lisboa,896,56108,5,1
25-34,Masculino ,Benfica,Faro,764,19647,2,4
45-54,Masculino ,Benfica,Leiria,420,1594,2,2
55-64,Masculino ,Benfica,Lisboa,444,14055,1,1
45-54,Masculino ,Sporting,Lisboa,744,34813,2,1
25-34,Masculino ,Sporting,Setúbal,416,17423,1,1
35-44,Masculino ,FC Porto,Porto,924,24549,1,1
35-44,Masculino ,FC Porto,Lisboa,348,52922,8,8
25-34,Masculino ,Benfica,Setúbal,1052,4665,1,1
25-34,Masculino ,Benfica,Castelo Branco,628,5287,2,1
45-54,Masculino ,Sporting,Porto,1100,38487,6,6
15-24,Masculino ,Benfica,Santarém,736,53852,5,4
35-44,Masculino ,Sporting,Faro,392,17399,1,1
35-44,Masculino ,Benfica,Porto,1216,12207,4,3
35-44,Masculino ,FC Porto,Porto,1152,14655,4,4
45-54,Masculino ,FC Porto,Porto,804,20527,2,2
35-44,Masculino ,Sporting,Faro,528,16883,1,1
15-24,Masculino ,Benfica,Setúbal,620,3124,1,1
45-54,Feminino  ,Benfica,Lisboa,724,18330,6,6
35-44,Masculino ,Benfica,Faro,1664,25947,6,3
25-34,Masculino ,FC Porto,Aveiro,1060,34210,5,6
35-44,Masculino ,Sporting,Setúbal,540,50415,4,4
25-34,Masculino ,Benfica,Évora,512,52994,4,4
35-44,Masculino ,Sporting,Leiria,780,2279,1,1
35-44,Masculino ,FC Porto,Aveiro,868,1504,2,2
35-44,Masculino ,FC Porto,Lisboa,824,40140,20,28
45-54,Masculino ,FC Porto,Faro,424,43488,4,4
55-64,Masculino ,Benfica,Castelo Branco,108,13297,1,1
25-34,Masculino ,Sporting,Santarém,836,5450,1,1
25-34,Masculino ,Benfica,Setúbal,400,8061,1,1
25-34,Masculino ,Benfica,Bragança,768,8517,1,1
35-44,Masculino ,Benfica,Porto,736,5784,3,1
45-54,Masculino ,Benfica,Lisboa,528,7324,7,7
25-34,Masculino ,Benfica,Braga,884,6414,10,3
15-24,Masculino ,Benfica,Portalegre,740,12478,1,1
35-44,Masculino ,FC Porto,Porto,784,26422,1,1
35-44,Masculino ,Sporting,Porto,1152,55834,6,6
45-54,Masculino ,Benfica,Lisboa,528,11336,1,1
25-34,Masculino ,FC Porto,Aveiro,752,24035,1,1
15-24,Masculino ,Benfica,Porto,692,36557,1,1
55-64,Masculino ,Benfica,Lisboa,1472,20600,6,4
35-44,Feminino  ,Benfica,Braga,1268,677,3,6
25-34,Masculino ,FC Porto,Aveiro,692,3814,1,1
45-54,Masculino ,Benfica,Coimbra,828,18768,1,1
45-54,Masculino ,FC Porto,Porto,1100,11192,1,1
45-54,Masculino ,Sporting,Aveiro,312,27036,1,1
25-34,Masculino ,FC Porto,Porto,504,40595,2,2
15-24,Masculino ,Benfica,Santarém,904,6746,1,1
25-34,Feminino  ,FC Porto,Aveiro,380,13820,1,1
45-54,Masculino ,FC Porto,Beja,444,41701,4,2
25-34,Masculino ,Benfica,Aveiro,448,6169,3,1
35-44,Masculino ,Sporting,Leiria,644,17995,4,3
25-34,Masculino ,Benfica,Évora,644,12693,1,1
45-54,Masculino ,Benfica,Beja,824,3607,1,1
35-44,Masculino ,Benfica,Setúbal,504,1781,1,1
35-44,Masculino ,Benfica,Évora,528,1414,1,1
35-44,Masculino ,Sporting,Lisboa,512,952,2,1
45-54,Masculino ,Benfica,Portalegre,472,11807,1,1
35-44,Feminino  ,Benfica,Faro,572,27910,4,3
55-64,Masculino ,FC Porto,Porto,708,41264,3,4
35-44,Masculino ,FC Porto,Aveiro,696,18266,1,1
25-34,Masculino ,Benfica,Castelo Branco,636,56131,3,4
25-34,Masculino ,FC Porto,Porto,960,48063,4,4
25-34,Masculino ,FC Porto,Porto,592,23951,1,1
35-44,Masculino ,Benfica,Évora,840,1555,2,1
45-54,Masculino ,Benfica,Lisboa,920,33164,1,1
35-44,Masculino ,Benfica,Aveiro,856,4237,1,1
45-54,Masculino ,Benfica,Faro,1076,48972,50,6
45-54,Masculino ,Sporting,Lisboa,232,35563,1,1
45-54,Masculino ,Benfica,Porto,1108,27732,2,1
25-34,Masculino ,Benfica,Beja,1300,10598,2,3
45-54,Masculino ,Benfica,Beja,1040,1415,3,2
35-44,Masculino ,Sporting,Faro,512,18694,1,1
25-34,Masculino ,Benfica,Beja,840,7229,3,1
35-44,Masculino ,Sporting,Santarém,552,26603,1,1
25-34,Masculino ,FC Porto,Setúbal,292,35286,1,1
35-44,Masculino ,Benfica,Lisboa,960,4177,2,2
35-44,Masculino ,Sporting,Évora,1532,39412,4,4
25-34,Masculino ,Benfica,Faro,640,20152,2,2
55-64,Masculino ,Benfica,Santarém,1008,9161,4,1
15-24,Masculino ,Benfica,Évora,540,11697,1,1
25-34,Masculino ,Sporting,Santarém,496,9002,1,1
25-34,Masculino ,Benfica,Évora,728,5995,1,1
35-44,Masculino ,Benfica,Castelo Branco,1468,2784,1,1
15-24,Masculino ,Benfica,Lisboa,260,15783,1,1
15-24,Masculino ,Benfica,Aveiro,1020,18200,2,2
45-54,Masculino ,Benfica,Ilha de São Miguel,1288,10990,1,1
35-44,Masculino ,Benfica,Castelo Branco,712,1262,1,1
45-54,Masculino ,FC Porto,Aveiro,872,2014,1,1
35-44,Masculino ,FC Porto,Porto,816,17436,1,1
45-54,Masculino ,Benfica,Lisboa,572,37524,4,4
25-34,Masculino ,Benfica,Lisboa,568,36890,4,6
15-24,Masculino ,Benfica,Lisboa,1392,41923,4,2
45-54,Masculino ,Benfica,Aveiro,1420,12722,3,2
25-34,Masculino ,Benfica,Évora,892,7317,4,1
55-64,Masculino ,Sporting,Lisboa,404,47890,4,5
35-44,Masculino ,Benfica,Setúbal,648,11392,4,1
15-24,Masculino ,Benfica,Faro,600,8258,1,1
35-44,Masculino ,FC Porto,Porto,1032,3987,1,1
15-24,Masculino ,Benfica,Aveiro,448,17835,1,1
55-64,Masculino ,Benfica,Lisboa,348,51623,8,8
25-34,Masculino ,Benfica,Évora,776,596,1,1
35-44,Masculino ,Benfica,Faro,552,7240,3,3
55-64,Masculino ,Benfica,Lisboa,672,44688,5,5
25-34,Masculino ,FC Porto,Porto,528,27003,2,4
25-34,Feminino  ,Benfica,Coimbra,680,45334,4,1
45-54,Masculino ,Benfica,Viseu,1172,51177,12,6
25-34,Masculino ,Benfica,Faro,1492,28749,2,6
45-54,Masculino ,Benfica,Faro,672,5000,2,2
35-44,Masculino ,Benfica,Braga,912,847,1,1
35-44,Masculino ,FC Porto,Porto,872,26982,2,2
35-44,Masculino ,Benfica,Portalegre,1040,38053,9,4
15-24,Masculino ,Benfica,Aveiro,432,47306,2,2
35-44,Masculino ,Benfica,Aveiro,664,47815,5,6
45-54,Masculino ,Sporting,Lisboa,664,17521,4,2
-15,Masculino ,Sporting,Setúbal,640,42820,9,12
55-64,Masculino ,FC Porto,Porto,380,52414,21,17
45-54,Masculino ,Sporting,Porto,720,45287,8,6
25-34,Masculino ,Benfica,Faro,380,4970,1,1
35-44,Masculino ,FC Porto,Porto,448,23924,1,1
35-44,Masculino ,Benfica,Lisboa,752,14881,1,1
35-44,Masculino ,Benfica,Lisboa,708,44766,4,2
35-44,Masculino ,Benfica,Portalegre,552,16233,1,1
55-64,Masculino ,Benfica,Lisboa,424,14130,4,4
55-64,Masculino ,Benfica,Setúbal,1300,10492,1,1
35-44,Masculino ,Benfica,Beja,944,50851,9,4
25-34,Masculino ,Benfica,Aveiro,476,1289,1,1
25-34,Masculino ,Sporting,Lisboa,1056,6133,1,1
35-44,Feminino  ,FC Porto,Viana do Castelo,832,22151,1,1
35-44,Masculino ,Benfica,Faro,800,51592,4,3
15-24,Masculino ,Benfica,Leiria,1420,1483,3,4
55-64,Masculino ,Benfica,Setúbal,604,8579,3,2
25-34,Masculino ,Sporting,Faro,444,24482,3,2
35-44,Masculino ,Sporting,Lisboa,1396,25118,3,1
25-34,Masculino ,Benfica,Beja,1316,37312,2,2
35-44,Masculino ,Benfica,Lisboa,1040,26599,4,8
35-44,Masculino ,Sporting,Ilha da Madeira,1152,48321,24,32
15-24,Masculino ,FC Porto,Porto,348,46026,3,1
45-54,Masculino ,Sporting,Lisboa,1396,19454,1,1
45-54,Masculino ,Benfica,Lisboa,480,38073,8,12
35-44,Masculino ,FC Porto,Porto,560,44306,8,13
45-54,Masculino ,Sporting,Porto,824,42565,9,9
55-64,Masculino ,FC Porto,Porto,464,48478,4,3
45-54,Masculino ,Benfica,Aveiro,1432,49206,16,16
35-44,Masculino ,Benfica,Lisboa,208,3863,1,1
35-44,Masculino ,Benfica,Castelo Branco,804,23207,1,1
35-44,Masculino ,Benfica,Setúbal,676,28969,5,5
35-44,Masculino ,Sporting,Ilha de São Miguel,1516,601,2,1
35-44,Masculino ,FC Porto,Porto,704,18463,7,7
35-44,Masculino ,Benfica,Lisboa,512,2746,1,1
55-64,Masculino ,Benfica,Castelo Branco,696,33841,5,10
45-54,Masculino ,Benfica,Braga,1076,18545,1,1
64,Masculino ,Sporting,Aveiro,1512,47372,17,20
64,Masculino ,Sporting,Leiria,508,33770,13,10
45-54,Feminino  ,Sporting,Évora,404,5094,2,1
35-44,Masculino ,FC Porto,Aveiro,516,22501,1,1
25-34,Feminino  ,Sporting,Setúbal,1436,3163,4,1
25-34,Masculino ,Benfica,Guarda,1100,3167,1,1
55-64,Masculino ,Benfica,Porto,660,53500,6,6
25-34,Masculino ,Benfica,Santarém,1304,1132,1,1
64,Masculino ,Sporting,Castelo Branco,1576,39594,4,4
45-54,Masculino ,Sporting,Lisboa,696,43467,12,16
55-64,Feminino  ,Benfica,Lisboa,1828,48338,40,40
45-54,Masculino ,Benfica,Lisboa,2560,18842,7,8
45-54,Masculino ,Sporting,Lisboa,788,43010,8,8
15-24,Masculino ,Benfica,Bragança,612,4192,1,1
35-44,Masculino ,Benfica,Leiria,1040,51979,4,4
25-34,Masculino ,Benfica,Lisboa,668,50438,5,8
35-44,Masculino ,Benfica,Faro,1184,5575,2,4
15-24,Masculino ,Benfica,Portalegre,1548,4984,1,1
25-34,Masculino ,Sporting,Setúbal,988,45395,4,4
45-54,Masculino ,Sporting,Aveiro,1184,6416,3,4
64,Masculino ,Benfica,Lisboa,916,24906,1,1
25-34,Masculino ,Benfica,Lisboa,1008,5823,2,2
25-34,Masculino ,Benfica,Aveiro,680,23148,1,1
25-34,Masculino ,Sporting,Lisboa,748,52507,43,37
64,Masculino ,Sporting,Setúbal,1208,13652,2,2
45-54,Masculino ,Benfica,Castelo Branco,1280,43267,6,4
35-44,Feminino  ,Benfica,Faro,2704,41230,4,4
35-44,Masculino ,Sporting,Lisboa,900,12174,1,1
35-44,Feminino  ,Benfica,Viseu,1848,4906,2,2
35-44,Masculino ,Sporting,Portalegre,596,24505,1,1
45-54,Masculino ,Benfica,Castelo Branco,1096,47460,4,4
45-54,Masculino ,Sporting,Bragança,1236,4721,2,3
25-34,Masculino ,Sporting,Lisboa,708,47948,37,12
45-54,Masculino ,Sporting,Setúbal,964,5372,61,63
35-44,Masculino ,Benfica,Castelo Branco,1244,36298,4,4
64,Masculino ,Benfica,Lisboa,1040,2282,1,1
35-44,Masculino ,Benfica,Portalegre,1384,31,2,2
35-44,Feminino  ,Benfica,Braga,472,10052,1,1
35-44,Masculino ,Benfica,Lisboa,752,4170,1,1
45-54,Masculino ,Benfica,Lisboa,2936,14710,8,9
55-64,Feminino  ,Benfica,Lisboa,2524,45559,40,28
45-54,Masculino ,Sporting,Lisboa,944,44769,16,21
64,Masculino ,Sporting,Castelo Branco,1508,17898,4,4
55-64,Masculino ,Benfica,Porto,684,48074,6,6
45-54,Masculino ,Benfica,Coimbra,1092,5,5,2
64,Masculino ,Sporting,Évora,748,46634,24,12
